ID	AFR	EUR	AMR
RP-1847_10000414	2	0	0
RP-1847_10000972	1	1	0
RP-1847_10000991	0	1	1
RP-1847_10001017	2	0	0
RP-1847_10001082	2	0	0
RP-1847_10001132	1	1	0
RP-1847_10001256	2	0	0
RP-1847_10001360	0	2	0
RP-1847_10001464	2	0	0
RP-1847_10001694	0	2	0
RP-1847_10001776	1	1	0
RP-1847_10001806	2	0	0
RP-1847_10002076	0	2	0
RP-1847_10002370	2	0	0
RP-1847_10002572	1	1	0
RP-1847_10002607	2	0	0
RP-1847_10002640	0	2	0
RP-1847_10003011	0	2	0
RP-1847_10003078	0	2	0
RP-1847_10003179	2	0	0
RP-1847_10003457	0	1	1
RP-1847_10003685	0	2	0
RP-1847_10003763	1	1	0
RP-1847_10003789	1	1	0
RP-1847_10004170	2	0	0
RP-1847_10005199	0	2	0
RP-1847_10005931	2	0	0
RP-1847_10006149	0	2	0
RP-1847_10006564	0	2	0
RP-1847_10006581	0	2	0
RP-1847_10006962	1	1	0
RP-1847_10007003	0	0	1
RP-1847_10007155	1	1	0
RP-1847_10007345	2	0	0
RP-1847_10007591	1	1	0
RP-1847_10007799	0	2	0
RP-1847_10007904	2	0	0
RP-1847_10007916	0	2	0
RP-1847_10008454	2	0	0
RP-1847_10008847	2	0	0
RP-1847_10009320	2	0	0
RP-1847_10009321	2	0	0
RP-1847_10009351	2	0	0
RP-1847_10009770	0	2	0
RP-1847_10010015	2	0	0
RP-1847_10010194	2	0	0
RP-1847_10010214	2	0	0
RP-1847_10010259	1	1	0
RP-1847_10010324	1	1	0
RP-1847_10010373	2	0	0
RP-1847_10010397	1	0	1
RP-1847_10010474	0	2	0
RP-1847_10010517	1	1	0
RP-1847_10010613	0	2	0
RP-1847_10010626	1	1	0
RP-1847_10010633	2	0	0
RP-1847_10010666	0	2	0
RP-1847_10010942	1	1	0
RP-1847_10010952	0	2	0
RP-1847_10011048	0	0	2
RP-1847_10011170	1	1	0
RP-1847_10011184	2	0	0
RP-1847_10011227	0	2	0
RP-1847_10011269	0	2	0
RP-1847_10011320	0	2	0
RP-1847_10011361	0	1	1
RP-1847_10011381	2	0	0
RP-1847_10011383	2	0	0
RP-1847_10011387	0	2	0
RP-1847_10011411	0	2	0
